country,year,regime,threat_land_log,threat_score_log,gpr_mean
ES,2017,3,0.06495476353591792,3.6927924614027607,0.11309835904588302
ES,2018,3,0.013883967333577366,2.9733009240329618,0.0637620532264312
ES,2019,3,0.10655022880146942,3.7571979368719277,0.08879956137388945
ES,2020,3,7.41784816121914e-4,3.421598486669073,0.08954281825572252
ES,2021,3,0.0027627052276685835,2.3085362100093163,0.05580771869669358
ES,2022,4,3.107377788515857,4.0298118972579955,0.16942768978575865
ES,2023,4,3.022747559722821,4.416987887462049,0.11166179242233436
FI,1995,1,3.396276558750587,3.6123575493403486,0.015507256612181664
FI,1996,1,0.0499056498132585,1.8277153638048327,0.017580087839936216
FI,1997,1,0.07655165602529325,1.6774316449798592,0.03514189909522732
FI,1998,1,1.372111662345019,2.076013666541037,0.011491890317605188
FI,1999,1,1.7970676538701698,2.178343391017209,0.051153445771584906
FI,2000,1,0.026050784677915557,0.8212875810399971,0.033460322534665465
FI,2001,1,0.46806830624629897,0.94484093857428475,0.03134926214503745
FI,2002,1,0.7233246098943945,1.184309286710156,0.022528824862092733
FI,2003,1,0,0.9571668380061772,0.027089219423942268
FI,2004,1,3.536195545511122e-4,1.4058250408724162,0.021148106083273888
FI,2005,2,0.1504059934531802,1.4018735233883133,0.019138328226593632
FI,2006,2,0.13558241101079438,1.5409338896882931,0.03629456181079149
FI,2007,2,0,1.3552589429518143,0.016243631408239406
FI,2008,2,0,1.5017062119589735,0.023522496921941638
FI,2009,2,1.1739172980756896,1.7931038020840298,0.007783895048002402
FI,2010,2,0,1.079932284584347,0.014926115283742547
FI,2011,2,0.004275783585612639,1.6030537292823546,0.022367472857392084
FI,2012,2,0.3692900162890535,3.725278289514262,0.012843811069615185
FI,2013,2,0.18998989349495649,4.067945742098926,0.013060124008916318
FI,2014,3,0.8644665685675528,4.711462919125344,0.024747642028766375
FI,2015,3,0,4.343644993162097,0.018355236776793998
FI,2016,3,1.004618063475312,4.037105334196042,0.018662520063420136
FI,2017,3,0.02753421207501771,3.491875750973743,0.020611466684689123
FI,2018,3,0.09618869703994916,2.8632738129938686,0.08129480399657041
FI,2019,3,0.025575872704996633,2.9076944815797976,0.028114988196951646
FI,2020,3,0.4089780093441728,2.5171224941771055,0.024850897025316954
FI,2021,3,0.1999679923636216,2.3402141284955484,0.027537365444004536
FI,2022,4,5.325210013054086,6.2564540432159905,0.2336483852316936
FI,2023,4,5.248426013343799,6.544396239007913,0.10712395949910085
FR,1995,1,5.558445976557728,5.980199480140973,0.5955978209773699
FR,1996,1,0.5209357939757573,3.9892927393535995,0.3574492384990056
FR,1997,1,0.46486737480514534,4.113455285353943,0.30092552304267883
FR,1998,1,3.14929303561699,5.175030567345525,0.41851788262526196
FR,1999,1,3.5369011490902356,4.738923277444417,0.4208880737423897
FR,2000,1,0.17517228568815918,4.31368750563183,0.2741353139281273
FR,2001,1,1.7094212747799007,3.671845357671913,0.5957171817620596
FR,2002,1,0.3889751208119468,3.8826422482687426,0.6541496167580286
FR,2003,1,0,4.145389145011511,0.9599085201819738
FR,2004,1,0.04053345076151331,3.998015085250475,0.5838978166381518
FR,2005,2,0.13554915045219942,3.160942870567079,0.46112342675526935
FR,2006,2,0.00994685563000092,3.423200895636922,0.515132948756218
FR,2007,2,0,3.84231022659335,0.35730460782845813
FR,2008,2,0,3.5210073150715173,0.3795732172826926
FR,2009,2,0.08933515330856838,3.9549823546935383,0.3408428318798542
FR,2010,2,0,3.3743504771600454,0.30200184881687164
FR,2011,2,0.025698499892321917,4.3638857488571405,0.5031813060243925
FR,2012,2,0.07676624796696996,4.786486913718699,0.3687548985083898
FR,2013,2,0.013279283169719765,5.000033976825984,0.4823317254583041
FR,2014,3,0.41555194176667054,5.072535323474535,0.4922422344485919
FR,2015,3,0,4.773935074271856,0.9657821903626124
FR,2016,3,0.10094660815199029,4.657893126777247,0.7489193926254908
FR,2017,3,0.14275601795254442,4.105607277504393,0.551187368730704
FR,2018,3,0.03443196013935392,3.4565937558621047,0.5586947947740555
FR,2019,3,0.4191014906269849,4.064708959228447,0.48658857494592667
FR,2020,3,0.004138315855336756,3.614149189025976,0.45104282225171727
FR,2021,3,0.012857423629639597,2.508453407411022,0.47776849443713826
FR,2022,4,4.312328859747507,5.160670138302429,0.920625165104866
FR,2023,4,4.205682332252502,5.513180745411445,0.5891667132576307
GB,1995,1,4.099568042192897,4.39018149863174,0.7025662536422411
GB,1996,1,0.5458696982193677,2.358543469985431,0.6455024853348732
GB,1997,1,0.10652937693337662,2.4998087759549485,0.5981034561991692
GB,1998,1,1.655411652029233,3.463134070843028,0.970256581902504
GB,1999,1,2.0485747724584207,2.983246413392,0.9120942503213882
GB,2000,1,0.03457517670433576,2.4654339600248747,0.639164167145888
GB,2001,1,0.6008860678778595,1.8883045953464324,1.8637569348017375
GB,2002,1,0.11790498160927222,2.0784360094694145,1.6815312306086223
GB,2003,1,0,2.3025213518612624,2.2851849297682443
GB,2004,1,0.008377116129291814,2.1861190463803997,1.3640209039052327
GB,2005,2,0.027715320268254608,1.4944924258835681,1.241415614883105
GB,2006,2,0.00725944858708334,1.6705765279653466,1.2707550128300984
GB,2007,2,0,2.0127300008888587,1.018175294001897
GB,2008,2,0,1.775757559465204,0.7258659303188324
GB,2009,2,0.09988039805996315,2.248108667667019,0.7626926253239313
GB,2010,2,0,1.645460126037715,0.8638160824775696
GB,2011,2,0.003910634914687284,2.356490262184857,0.9524019360542297
GB,2012,2,0.030113040191097663,3.0597943953856603,0.8371571699778239
GB,2013,2,0.009971024096438592,3.283911582008827,0.9031898925701777
GB,2014,3,0.21592869583748303,3.4624348760430155,1.0265032400687535
GB,2015,3,0,3.1514624521751124,0.9989469349384308
GB,2016,3,0.08068298431546585,2.9564898405570426,0.9006747057040533
GB,2017,3,0.023800545916238775,2.4708059795160837,0.9144709358612696
